epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
76,5723.22,1.51436,1.03435,0.00892,0.90907,0.88546,0.94534,0.69394,1.23802,0.58221,0.00799,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,5800.73,1.52238,1.04046,0.00879,0.8786,0.89362,0.95132,0.67279,1.23684,0.57232,0.00785,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,5880.43,1.51279,1.02506,0.00873,0.91689,0.90951,0.95139,0.67875,1.24047,0.56562,0.00788,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,5955.34,1.51595,1.00018,0.00885,0.93498,0.89131,0.95192,0.6767,1.23078,0.56903,0.00787,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,6028.71,1.52189,1.00966,0.00891,0.91919,0.90577,0.95404,0.69314,1.23679,0.55428,0.00796,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,6102.52,1.508,1.01536,0.00893,0.92583,0.90438,0.95906,0.70676,1.22611,0.55094,0.00777,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,6180.01,1.51098,0.97032,0.00885,0.84094,0.91104,0.95569,0.71302,1.22359,0.5656,0.00779,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,6255.27,1.50014,0.9872,0.00876,0.91656,0.88572,0.95347,0.70483,1.23194,0.55342,0.00786,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,6328.78,1.5009,1.0088,0.00873,0.94072,0.87965,0.95575,0.71649,1.23683,0.54789,0.00781,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,6400.07,1.50368,0.99508,0.00878,0.91411,0.90309,0.95477,0.71622,1.23839,0.5512,0.00781,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,6471.99,1.48268,0.97769,0.00848,0.90494,0.91282,0.95399,0.70766,1.23752,0.54403,0.00789,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,6542.35,1.49109,0.99168,0.00857,0.88255,0.85597,0.93779,0.69031,1.23599,0.55042,0.00786,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,6615.4,1.50315,0.98672,0.00877,0.9192,0.90596,0.95502,0.7194,1.23021,0.55242,0.00783,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,6687.91,1.50968,1.03563,0.00883,0.90924,0.91218,0.95368,0.70534,1.22736,0.55717,0.0079,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,6758.42,1.50451,1.01577,0.00872,0.91799,0.89525,0.95417,0.70354,1.20916,0.56742,0.00775,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
91,6832.92,1.50138,0.99439,0.00881,0.91258,0.903,0.95502,0.70913,1.21491,0.5626,0.00766,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
92,6906.01,1.48609,0.97281,0.00858,0.90923,0.91276,0.95563,0.71642,1.22216,0.55274,0.00773,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
93,6980.64,1.48552,1.00136,0.00861,0.90327,0.92006,0.95634,0.70931,1.21514,0.55239,0.00769,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
94,7054.81,1.48886,0.99387,0.00864,0.90334,0.90594,0.95335,0.70831,1.21279,0.56012,0.00771,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
95,7126.51,1.4955,0.98363,0.00852,0.90262,0.9085,0.95408,0.71036,1.2144,0.54943,0.00767,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
